#,"McGlathery, K.J., Christian, R.R. 2000. Water Quality Sampling - integrated"
#,"measurements for the Virginia Coast, 1992-2016. Virginia Coast Reserve"
#,"Long-Term Ecological Research Project Data Publication knb-lter-vcr.247.6"
#,"(http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.247)"
#,
#,This dataset is distributed by the Virginia Coast Reserve Long-Term Ecological
#,Research Project and use is subject to the VCR/LTER Data Access Policy
#,(http://www.vcrlter.virginia.edu/data/docs/IMPolicy_VCRLTER06.pdf). Data users
#,working on scientific papers are encouraged to contact the data authors
#,regarding availability of updated data and/or possible collaborations.
#,
#,Full metadata descriptions are available at:
#,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.2
#,For additional information about the data contact: Karen McGlathery
#,(kjm4k@virginia.edu)
#,
#,Collection and/or distribution of this data was supported by National Science
#,Foundation grants BSR-8702333-06; DEB-9211772; DEB-9411974; DEB-0080381,
#,DEB-0621014 and DEB-1237733. VCR/LTER: http://www.vcrlter.virginia.edu
#,# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
"station","measureDate","StaGrpCode","StaType","Transect","Latitude","Longitude","time","analyst","tidestage","scttemp","sctsal","sctcond","airtemp","refrsal","dotemp","do","secchi","depth","winddir","windsp","commentOBS","chla","chla_sd","chla_N","chla_qual","phaeopigments","phaeopigments_sd","phaeopigments_N","phaeopigments_qual","nh3","nh3_sd","nh3_N","nh3qual","po4","po4_sd","po4_N","po4qual","nox","nox_sd","nox_N","noxqual","no2","no2_sd","no2_N","no2qual","din","commentNutr","noxTDN","noxTDN_sd","noxTDN_N","noxTDNqual","no2TDN","no2TDN_sd","no2TDN_N","no2TDNqual","commentTDN","processorTDN","organic_content","organic_content_sd","organic_content_N","oc_qual","porosity","porosity_sd","porosity_N","porosity_qual","comments_organic_content","chlor_a","chlor_a_sd","chlor_a_N","chlor_aqual","phaeopigments_a","phaeopigments_a_sd","phaeopigments_a_N","phaeopigments_aqual","commentWaterChl","Gracilaria_mass","Gracilaria_sd","Gracilaria_N","Gracilaria_qual","Ulva_mass","Ulva_sd","Ulva_N","Ulva_qual","commentMacroalgae","tss","tss_sd","tss_N","tssqual","pom","pom_sd","pom_N","pomqual","pim","pim_sd","pim_N","pimqual","commentTSS","sedMass","sedMass_sd","sedMass_N","sedMassqual","sedperc_N","sedperc_N_sd","sedperc_N_N","sedperc_Nqual","sedperc_C","sedperc_C_sd","sedperc_C_N","sedperc_Cqual","commentSedCN"
"CM",2005-09-01,2,"Mainland Creek","Oyster",37.287616,-75.92876,1322,"KMO/ART","LATE EBB",26.2,1.3,2,32.4,,26.3,9.2,,0.3,"W",7.3,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,112.333333333333,0.577350269189626,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,5.7,0,2,"",18.67,0,2,"","",,,,,,,,,,,41.1865673895426,3,"M",,24.2487113059643,3,"M",,65.2099174461472,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-09-29,2,"Mainland Creek","Oyster",37.287616,-75.92876,0,"ART","",21.3,2.3,4,27.3,,21.3,9.8,,,"E",12.3,"",,,,"M",,,,"M",12.6333333333333,1.39236010667739,6,"",2.25333333333333,0.48052748794077,6,"",123.333333333333,0.516397779494322,6,"",3.00666666666667,0.451338749352043,6,"",135.966666666666,"",112.333333333333,0.577350269189626,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,4.98,0,2,"",17.46,1.4142135623731,2,"","",,,,,,,,,,,70.5998111423347,3,"M",,105.69768209379,3,"M",,28.6181760425084,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-11-01,2,"Mainland Creek","Oyster",37.287616,-75.92876,1300,"KMO/ART","LATE EBB",16,2.4,4,25.8,,16.1,10.8,25,0.2,"S",3.7,"",,,,"M",,,,"M",3.32666666666667,0.165630109984065,3,"",,,,"M",90.9,4.80832611206852,2,"",0.595333333333333,0.368038494363475,3,"",94.2266666666667,"",101.75,6.01040764008565,2,"",2.35666666666667,0.030550504633039,3,"","","MEG MILLER",,,,"M",,,,,,2.13,,1,"",5.665,0.657609306503489,2,"","",,,,,,,,,,,61.5006775030433,3,"M",,59.4670777265315,3,"M",,22.5166604983954,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-11-15,2,"Mainland Creek","Oyster",37.287616,-75.92876,1320,"ART","LATE EBB",18.4,3.3,6,23.1,,18.5,10.2,,,"S",5.5,"",,,,"M",,,,"M",7.00666666666667,0.256580071972344,3,"",0.581,0.036592348927064,3,"",172.333333333333,0.577350269189626,3,"",9.01666666666667,1.28508106099706,3,"",179.34,"",,,,"M",,,,"M",,,,,,"M",,,,,,2.13333333333333,1.42500292397361,3,"",7.91,1.71119841047144,2,"","",,,,,,,,,,,133.151542737339,3,"M",,101.326205889691,3,"M",,94.3945619902616,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2005-12-12,2,"Mainland Creek","Oyster",37.287616,-75.92876,0,"ART","LATE EBB",8.9,0.9,2,12.9,,8.9,11.5,,,"W",10.5,"",,,,"M",,,,"M",4.52,0.34828149534536,3,"",0.026,,1,"",100.633333333333,0.635085296108585,3,"",,,,"M",105.153333333333,"",111.066666666667,22.4234995781955,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,0.71,0,2,"",3.2,0,2,"","",,,,,,,,,,,49.0849603578666,3,"M",,112.811051468078,3,"M",,5.19615242270663,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2006-03-29,2,"Mainland Creek","Oyster",37.287616,-75.92876,1330,"KMO/ART","LATE EBB",16.3,3.6,6,16.8,,16.3,13.8,25,0.2,"W",7,"",,,,"M",,,,"M",4.65333333333333,0.485008590989204,3,"",0.1001,0.0974393144475063,2,"",101.333333333333,0.577350269189626,3,"",,,,"M",105.986666666666,"",100.633333333333,0.635085296108585,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,1.42,,1,"",3.98333333333333,0.840555371961499,3,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-04-27,2,"Mainland Creek","Oyster",37.287616,-75.92876,1300,"KMO/ART","LATE EBB",17.8,3.3,6,20.4,,17.9,12.6,,0.3,"E",5.7,"",,,,"M",,,,"M",3.42333333333333,0.425949918808929,3,"",,,,"M",105.5,8.04673846971554,3,"",1.16866666666667,0.188958549246477,3,"",108.923333333333,"",100,0,2,"",,,,"M","","MEG MILLER",,,,"M",,,,,,1.42,0.71,3,"",7.41,0.71,3,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-05-23,2,"Mainland Creek","Oyster",37.287616,-75.92876,1125,"KMO/ART","LATE EBB",20.1,3.1,6,24,,20.2,17.5,,0.2,"N",6.3,"",,,,"M",,,,"M",4.23666666666667,0.231156512634477,3,"",0.1093,0.0334390490295403,3,"",114.333333333333,0.577350269189626,3,"",1.74333333333333,0.265769323537035,3,"",118.57,"",,,,"M",,,,"M",,,,,,"M",,,,,,1.42,,1,"",3.98333333333333,0.840555371961499,3,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-05-24,2,"Mainland Creek","Oyster",37.287616,-75.92876,,,,,,,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,103.333333333333,0.577350269189626,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-06-23,2,"Mainland Creek","Oyster",37.287616,-75.92876,1210,"KMO/ART","LATE EBB",28.2,1.8,4,35,,28.2,9.7,,0.3,"S",10.2,"",,,,"M",,,,"M",11.03,1.83425734290475,5,"",1.1942,0.32617204049397,5,"",191.5,0.577350269189626,4,"",1.9318,0.605620508239277,5,"",202.53,"",464.333333333333,22.5018517756502,3,"",0.275,0.0753458691634784,3,"","","MEG MILLER",,,,"M",,,,,,1.89666666666667,1.48358799312118,3,"",12.71,1.69637849550152,3,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-07-24,2,"Mainland Creek","Oyster",37.287616,-75.92876,1401,"KMO/ART","LATE EBB",30.6,3.4,6,30.8,,30.6,9.1,,0.3,"N",8.2,"",,,,"M",,,,"M",14.8666666666667,1.28970280814354,3,"",1.73333333333333,0.165630109984065,3,"",124.666666666667,3.05505046330389,3,"",15.2666666666667,1.74737898961082,3,"",139.533333333334,"",,,,"M",,,,"M",,,,,,"M",,,,,,4.27,0,2,"",19.24,0,2,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-08-22,2,"Mainland Creek","Oyster",37.287616,-75.92876,1400,"KMO/DB","LATE EBB",28.6,1.8,3,35.7,,28.6,7.5,,,"S",6.3,"",,,,"M",,,,"M",10.0033333333333,0.390170902725118,3,"",0.544,0.169885255393162,3,"",111.733333333333,0.577350269189626,3,"",1.93333333333333,0.1955334583475,3,"",121.736666666666,"",108,1,3,"",0.36,0.0298663690461362,3,"","","MEG MILLER",,,,"M",,,,,,4.27,2.14,3,"",21.985,0.148492424049176,2,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-09-19,2,"Mainland Creek","Oyster",37.287616,-75.92876,1245,"KMO/DB","LATE EBB",21.7,0.8,2,26.6,,21.8,7.4,,0.3,"S",6.8,"",,,,"M",,,,"M",5.21,0.792212092813535,3,"",1.08,0.0964365076099295,3,"",105.333333333333,4.04145188432738,3,"",1.18,0.115325625946708,3,"",110.543333333333,"",106,0,3,"",0.344333333333333,0.00461880215351698,3,"","","MEG MILLER",,,,"M",,,,,,3.205,0.502045814642449,2,"",10.935,0.855599205235722,2,"","",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-11-06,2,"Mainland Creek","Oyster",37.287616,-75.92876,1435,"KMO/DB","LATE EBB",11.8,1,2,16.8,,11.9,10,,0.3,"N",7.2,"",,,,"M",,,,"M",4.49333333333333,0.291433239925259,3,"",0.557666666666667,0.0496521231503078,3,"",139,1,3,"",0.699666666666667,0.0803886393300281,3,"",143.493333333333,"",211.5,4.94974746830583,2,"",0.3435,0.0035355339059327,2,"","","MEG MILLER",,,,"M",,,,,,-6.2e-16,8.76812408671319e-16,2,"Q",2.49,0,2,"","Q",,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2006-12-06,2,"Mainland Creek","Oyster",37.287616,-75.92876,0,"KMO","",,,0,,,,,,,"",,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2007-01-30,2,"Mainland Creek","Oyster",37.287616,-75.92876,0,"KMO","",,,0,,,,,,,"",,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2007-02-27,2,"Mainland Creek","Oyster",37.287616,-75.92876,1200,"ART/CB/","LATE EBB",9.4,0.3,1,10.9,,9.5,12,,0.3,"S",4.3,"",,,,"M",,,,"M",0.718666666666667,0.212146961640589,3,"",,,,"M",159.666666666667,7.50555349946513,3,"",0.616333333333333,0.043096790290384,3,"",160.385333333334,"",233.5,0.707106781186548,2,"",0.286,0.0268700576850888,2,"","","MEG MILLER",,,,"M",,,,,,1.66,1.79209374754782,3,"",10.22,1.15965512114594,2,"","",,,,,,,,,,,140.14635207525,3,"M",,95.0859260528777,3,"M",,97.0154626850792,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-02-28,2,"Mainland Creek","Oyster",37.287616,-75.92876,,,,,,,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,236,4.35889894354067,3,"",0.286,0.0268700576850888,2,"","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2007-03-28,2,"Mainland Creek","Oyster",37.287616,-75.92876,1054,"KMO/CB","LATE EBB",16,0.3,1,15.8,,16,10.3,,0.3,"N",14.2,"",,,,"M",,,,"M",0.970333333333333,0.394525453340254,3,"",0.175666666666667,0.0300887575903914,3,"",188.666666666667,0.577350269189626,3,"",4.745,0.0919238815542511,2,"",189.637," DO 10:1 DILUTION BOTH",103.666666666667,0.577350269189626,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,1.71,2.41830519165799,2,"",5.4,4.82246824769225,2,"","",,,,,,,,,,,51.2640224719052,3,"M",,76.2102355330306,3,"M",,13.5030860670194,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-04-27,2,"Mainland Creek","Oyster",37.287616,-75.92876,1048,"KMO/DB/","LATE EBB",16.1,0.4,1,22.2,,16.2,10,,0.3,"W",3.7,"",,,,"M",,,,"M",2.56333333333333,0.461988455844227,3,"",0.202666666666667,0.0100166528008778,3,"",97.9,3.05122926047847,3,"",3.29,0.014142135623731,2,"",100.463333333333," DO 10:1 DILUTION BOTH",,,,"M",,,,"M",,,,,,"M",,,,,,2.13333333333333,1.42500292397361,3,"",10.45,0.575847201955518,3,"","",,,,,,,,,,,161.769383176587,3,"M",,103.389232192397,3,"M",,99.8815965698053,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-05-29,2,"Mainland Creek","Oyster",37.287616,-75.92876,1303,"KMO/DB/","LATE EBB",24.2,0.5,1,22.5,,24.3,10.3,,0.3,"E",17.7,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,106,0,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,2.85,,1,"",10.33,,1,"","",,,,,,,,,,,106.616133863501,3,"M",,132.455023813117,3,"M",,606.594043272215,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-05-29,2,"Mainland Creek","Oyster",37.287616,-75.92876,1303,"KMO/DB/","LATE EBB",24.2,0.5,1,22.5,,24.3,10.3,,0.3,"E",17.7,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,106,0,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,2.85,,1,"",10.33,,1,"","",,,,,,,,,,,106.616133863501,3,"M",,132.455023813117,3,"M",,606.594043272215,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-06-26,2,"Mainland Creek","Oyster",37.287616,-75.92876,,,,,,,,,,,,,,,,,,,"M",,,,"M",4.301,0.2281074308303,3,"",0.850666666666667,0.182058598625095,3,"",159.333333333333,6.02771377334171,3,"",6.78,1.37477270848675,3,"",163.634333333333," NEEDS 10:1 DILUTION BOTH",104.666666666667,0.577350269189626,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,2.37333333333333,1.48358799312118,3,"",11.6866666666667,1.30039737516397,3,"","",,,,,,,,,,,63.846169292553,3,"M",,287.316898215194,3,"M",,588.408304949321,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-07-27,2,"Mainland Creek","Oyster",37.287616,-75.92876,1141,"KMO/DB/","LATE EBB",27.2,2.5,5,29.2,,27.3,9.5,,0.3,"S",6,"",,,,"M",,,,"M",7.25,0.320468407179241,3,"",1.43,0.366606055596467,3,"",95.3,28.9943097865771,3,"",7.51666666666667,1.05191888153666,3,"",102.55," DO 10:1 DILUTION BOTH",,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,35.0190424388408,3,"M",,58.0775343829264,3,"M",,15.7162336455017,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-08-27,2,"Mainland Creek","Oyster",37.287616,-75.92876,1336,"KMO/CB/","LATE EBB",30.1,4.8,1,29,,30.1,7.1,,0.3,"N",9,"",,,,"M",,,,"M",19.4,0.435889894354068,3,"",2.45666666666667,0.245017006212494,3,"",,,,"M",11.5666666666667,1.19303534454489,3,"",," DO 10:1 DILUTION BOTH",98.4,0.173205080756886,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,217.621230581945,3,"M",,102.92877796483,3,"M",,158.037970121107,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-09-25,2,"Mainland Creek","Oyster",37.287616,-75.92876,1329,"kmo/cb","LATE EBB",27.6,5.9,10,29.1,,27.6,8.2,,0.3,"S",7.2,"",,,,"M",,,,"M",18.6333333333333,0.585946527708232,3,"",2.06666666666667,0.089628864398325,3,"",156.666666666667,10.4083299973307,3,"",6.36,0.331511689085015,3,"",175.3," NEEDS 10:1 DILUTION BOTH",101,0,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,4.03333333333333,1.79672850852134,3,"",19.3333333333333,3.28099578380304,3,"","",,,,,,,,,,,517.117974934154,3,"M",,251.346374551136,3,"M",,391.615883232537,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-10-24,2,"Mainland Creek","Oyster",37.287616,-75.92876,1142,"KMO/DB","MID EBB",23.1,11.2,19,27.5,,23.1,6.2,,0.3,"S",7.8,"",,,,"M",,,,"M",9.31666666666667,0.215715862498179,3,"",1.22666666666667,0.0585946527708232,3,"",147,5.65685424949238,2,"",6.56,0.216564078277077,3,"",156.316666666667,"  DO 10:1 DILUTION BOTH",116,1,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,16.39,1.0040916292849,2,"",57.055,1.36471608769004,2,"","",,,,,,,,,,,47.3427220735493,3,"M",,59.4670777265315,3,"M",,62.4045938479959,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2007-11-06,2,"Mainland Creek","Oyster",37.287616,-75.92876,1118,"KMO/DB","LATE EBB",13.4,2.9,5,9.6,,13.4,7.8,,0.3,"N",8,"",,,,"M",,,,"M",9.10666666666667,0.861181359141809,3,"",1.28333333333333,0.11060440015358,3,"",112,1.73205080756888,3,"",7.56,0.58025856305616,3,"",121.106666666667," DO 10:1 DILUTION BOTH",97.8666666666667,0.208166599946609,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,1.065,1.50613744392734,2,"",6.8,1.86676190233248,2,"","",,,,,,,,,,,99.4048959223505,3,"M",,207.95271898519,3,"M",,574.033390434157,3,"M","",,,,"M",,,,"M",,,,"M",
"CM",2008-01-31,2,"Mainland Creek","Oyster",37.287616,-75.92876,,"KMO","",,,0,,,,,,,"",,"",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,"M",,,,,,"M",,,,"M",,,,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,,,"M",,,,"M",,,,"M",,,,,"M",,,,"M",,,,"M",
"CM",2008-02-20,2,"Mainland Creek","Oyster",37.287616,-75.92876,1245,"KMO/DB","LATE EBB",9.1,0.7,1,8,,9.2,11.3,,0.5,"E",7.2,"",,,,"M",,,,"M",3.33333333333333,0.535007788105307,3,"",0.161466666666667,0.0673338943871015,3,"",425,71.6868188720911,3,"",2.86,0.509116882454314,2,"",428.333333333333,"NOx DILUTED 9:1, DILUTION INCLUDED IN FIL VALUE",241.666666666667,3.51188458428425,3,"",,,,"M","","MEG MILLER",,,,"M",,,,,,,,,"M",,,,"M",,,,,,,,,,,,527.733834427924,3,"M",,486.138183373137,3,"M",,410.513499575024,3,"M","",,,,"M",,,,"M",,,,"M",
