station,measureDate,StaGrpCode,StaType,Transect,Latitude,Longitude,time,analyst,tidestage,scttemp,sctsal,sctcond,airtemp,refrsal,dotemp,do,secchi,depth,winddir,windsp,commentOBS,chla,chla_sd,chla_N,chla_qual,phaeopigments,phaeopigments_sd,phaeopigments_N,phaeopigments_qual,nh3,nh3_sd,nh3_N,nh3qual,po4,po4_sd,po4_N,po4qual,nox,nox_sd,nox_N,noxqual,no2,no2_sd,no2_N,no2qual,din,commentNutr,noxTDN,noxTDN_sd,noxTDN_N,noxTDNqual,no2TDN,no2TDN_sd,no2TDN_N,no2TDNqual,commentTDN,processorTDN,organic_content,organic_content_sd,organic_content_N,oc_qual,porosity,porosity_sd,porosity_N,porosity_qual,comments_organic_content,chlor_a,chlor_a_sd,chlor_a_N,chlor_aqual,phaeopigments_a,phaeopigments_a_sd,phaeopigments_a_N,phaeopigments_aqual,commentWaterChl,Gracilaria_mass,Gracilaria_sd,Gracilaria_N,Gracilaria_qual,Ulva_mass,Ulva_sd,Ulva_N,Ulva_qual,commentMacroalgae,tss,tss_sd,tss_N,tssqual,pom,pom_sd,pom_N,pomqual,pim,pim_sd,pim_N,pimqual,commentTSS,sedMass,sedMass_sd,sedMass_N,sedMassqual,sedperc_N,sedperc_N_sd,sedperc_N_N,sedperc_Nqual,sedperc_C,sedperc_C_sd,sedperc_C_N,sedperc_Cqual,commentSedCN
CM,4/27/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1300,KMO/ART,LATE EBB,17.8,3.3,6,20.4,,17.9,12.6,,0.3,E,5.7,,,,,M,,,,M,3.423333333,0.425949919,3,,,,,M,105.5,8.04673847,3,,1.168666667,0.188958549,3,,108.9233333,,100,0,2,,,,,M,,MEG MILLER,,,,M,,,,,,1.42,0.71,3,,7.41,0.71,3,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,5/23/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1125,KMO/ART,LATE EBB,20.1,3.1,6,24,,20.2,17.5,,0.2,N,6.3,,,,,M,,,,M,4.236666667,0.231156513,3,,0.1093,0.033439049,3,,114.3333333,0.577350269,3,,1.743333333,0.265769324,3,,118.57,,,,,M,,,,M,,,,,,M,,,,,,1.42,,1,,3.983333333,0.840555372,3,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,5/24/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,103.3333333,0.577350269,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,6/23/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1210,KMO/ART,LATE EBB,28.2,1.8,4,35,,28.2,9.7,,0.3,S,10.2,,,,,M,,,,M,11.03,1.834257343,5,,1.1942,0.32617204,5,,191.5,0.577350269,4,,1.9318,0.605620508,5,,202.53,,464.3333333,22.50185178,3,,0.275,0.075345869,3,,,MEG MILLER,,,,M,,,,,,1.896666667,1.483587993,3,,12.71,1.696378496,3,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,7/24/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1401,KMO/ART,LATE EBB,30.6,3.4,6,30.8,,30.6,9.1,,0.3,N,8.2,,,,,M,,,,M,14.86666667,1.289702808,3,,1.733333333,0.16563011,3,,124.6666667,3.055050463,3,,15.26666667,1.74737899,3,,139.5333333,,,,,M,,,,M,,,,,,M,,,,,,4.27,0,2,,19.24,0,2,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,8/22/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1400,KMO/DB,LATE EBB,28.6,1.8,3,35.7,,28.6,7.5,,,S,6.3,,,,,M,,,,M,10.00333333,0.390170903,3,,0.544,0.169885255,3,,111.7333333,0.577350269,3,,1.933333333,0.195533458,3,,121.7366667,,108,1,3,,0.36,0.029866369,3,,,MEG MILLER,,,,M,,,,,,4.27,2.14,3,,21.985,0.148492424,2,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,9/19/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1245,KMO/DB,LATE EBB,21.7,0.8,2,26.6,,21.8,7.4,,0.3,S,6.8,,,,,M,,,,M,5.21,0.792212093,3,,1.08,0.096436508,3,,105.3333333,4.041451884,3,,1.18,0.115325626,3,,110.5433333,,106,0,3,,0.344333333,0.004618802,3,,,MEG MILLER,,,,M,,,,,,3.205,0.502045815,2,,10.935,0.855599205,2,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,11/6/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,1435,KMO/DB,LATE EBB,11.8,1,2,16.8,,11.9,10,,0.3,N,7.2,,,,,M,,,,M,4.493333333,0.29143324,3,,0.557666667,0.049652123,3,,139,1,3,,0.699666667,0.080388639,3,,143.4933333,,211.5,4.949747468,2,,0.3435,0.003535534,2,,,MEG MILLER,,,,M,,,,,,-6.20E-16,8.77E-16,2,Q,2.49,0,2,,Q,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,12/6/2006,2,Mainland Creek,Oyster,37.287616,-75.92876,0,KMO,,,,0,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,1/30/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,0,KMO,,,,0,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,2/27/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1200,ART/CB/,LATE EBB,9.4,0.3,1,10.9,,9.5,12,,0.3,S,4.3,,,,,M,,,,M,0.718666667,0.212146962,3,,,,,M,159.6666667,7.505553499,3,,0.616333333,0.04309679,3,,160.3853333,,233.5,0.707106781,2,,0.286,0.026870058,2,,,MEG MILLER,,,,M,,,,,,1.66,1.792093748,3,,10.22,1.159655121,2,,,,,,,,,,,,,140.1463521,3,M,,95.08592605,3,M,,97.01546269,3,M,,,,,M,,,,M,,,,M,
CM,2/28/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,236,4.358898944,3,,0.286,0.026870058,2,,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,3/28/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1054,KMO/CB,LATE EBB,16,0.3,1,15.8,,16,10.3,,0.3,N,14.2,,,,,M,,,,M,0.970333333,0.394525453,3,,0.175666667,0.030088758,3,,188.6666667,0.577350269,3,,4.745,0.091923882,2,,189.637, DO 10:1 DILUTION BOTH,103.6666667,0.577350269,3,,,,,M,,MEG MILLER,,,,M,,,,,,1.71,2.418305192,2,,5.4,4.822468248,2,,,,,,,,,,,,,51.26402247,3,M,,76.21023553,3,M,,13.50308607,3,M,,,,,M,,,,M,,,,M,
CM,4/27/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1048,KMO/DB/,LATE EBB,16.1,0.4,1,22.2,,16.2,10,,0.3,W,3.7,,,,,M,,,,M,2.563333333,0.461988456,3,,0.202666667,0.010016653,3,,97.9,3.05122926,3,,3.29,0.014142136,2,,100.4633333, DO 10:1 DILUTION BOTH,,,,M,,,,M,,,,,,M,,,,,,2.133333333,1.425002924,3,,10.45,0.575847202,3,,,,,,,,,,,,,161.7693832,3,M,,103.3892322,3,M,,99.88159657,3,M,,,,,M,,,,M,,,,M,
CM,5/29/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1303,KMO/DB/,LATE EBB,24.2,0.5,1,22.5,,24.3,10.3,,0.3,E,17.7,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,106,0,3,,,,,M,,MEG MILLER,,,,M,,,,,,2.85,,1,,10.33,,1,,,,,,,,,,,,,106.6161339,3,M,,132.4550238,3,M,,606.5940433,3,M,,,,,M,,,,M,,,,M,
CM,5/29/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1303,KMO/DB/,LATE EBB,24.2,0.5,1,22.5,,24.3,10.3,,0.3,E,17.7,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,106,0,3,,,,,M,,MEG MILLER,,,,M,,,,,,2.85,,1,,10.33,,1,,,,,,,,,,,,,106.6161339,3,M,,132.4550238,3,M,,606.5940433,3,M,,,,,M,,,,M,,,,M,
CM,6/26/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,4.301,0.228107431,3,,0.850666667,0.182058599,3,,159.3333333,6.027713773,3,,6.78,1.374772708,3,,163.6343333, NEEDS 10:1 DILUTION BOTH,104.6666667,0.577350269,3,,,,,M,,MEG MILLER,,,,M,,,,,,2.373333333,1.483587993,3,,11.68666667,1.300397375,3,,,,,,,,,,,,,63.84616929,3,M,,287.3168982,3,M,,588.4083049,3,M,,,,,M,,,,M,,,,M,
CM,7/27/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1141,KMO/DB/,LATE EBB,27.2,2.5,5,29.2,,27.3,9.5,,0.3,S,6,,,,,M,,,,M,7.25,0.320468407,3,,1.43,0.366606056,3,,95.3,28.99430979,3,,7.516666667,1.051918882,3,,102.55, DO 10:1 DILUTION BOTH,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,35.01904244,3,M,,58.07753438,3,M,,15.71623365,3,M,,,,,M,,,,M,,,,M,
CM,8/27/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1336,KMO/CB/,LATE EBB,30.1,4.8,1,29,,30.1,7.1,,0.3,N,9,,,,,M,,,,M,19.4,0.435889894,3,,2.456666667,0.245017006,3,,,,,M,11.56666667,1.193035345,3,,, DO 10:1 DILUTION BOTH,98.4,0.173205081,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,217.6212306,3,M,,102.928778,3,M,,158.0379701,3,M,,,,,M,,,,M,,,,M,
CM,9/25/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1329,kmo/cb,LATE EBB,27.6,5.9,10,29.1,,27.6,8.2,,0.3,S,7.2,,,,,M,,,,M,18.63333333,0.585946528,3,,2.066666667,0.089628864,3,,156.6666667,10.40833,3,,6.36,0.331511689,3,,175.3, NEEDS 10:1 DILUTION BOTH,101,0,3,,,,,M,,MEG MILLER,,,,M,,,,,,4.033333333,1.796728509,3,,19.33333333,3.280995784,3,,,,,,,,,,,,,517.1179749,3,M,,251.3463746,3,M,,391.6158832,3,M,,,,,M,,,,M,,,,M,
CM,10/24/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1142,KMO/DB,MID EBB,23.1,11.2,19,27.5,,23.1,6.2,,0.3,S,7.8,,,,,M,,,,M,9.316666667,0.215715862,3,,1.226666667,0.058594653,3,,147,5.656854249,2,,6.56,0.216564078,3,,156.3166667,  DO 10:1 DILUTION BOTH,116,1,3,,,,,M,,MEG MILLER,,,,M,,,,,,16.39,1.004091629,2,,57.055,1.364716088,2,,,,,,,,,,,,,47.34272207,3,M,,59.46707773,3,M,,62.40459385,3,M,,,,,M,,,,M,,,,M,
CM,11/6/2007,2,Mainland Creek,Oyster,37.287616,-75.92876,1118,KMO/DB,LATE EBB,13.4,2.9,5,9.6,,13.4,7.8,,0.3,N,8,,,,,M,,,,M,9.106666667,0.861181359,3,,1.283333333,0.1106044,3,,112,1.732050808,3,,7.56,0.580258563,3,,121.1066667, DO 10:1 DILUTION BOTH,97.86666667,0.2081666,3,,,,,M,,MEG MILLER,,,,M,,,,,,1.065,1.506137444,2,,6.8,1.866761902,2,,,,,,,,,,,,,99.40489592,3,M,,207.952719,3,M,,574.0333904,3,M,,,,,M,,,,M,,,,M,
CM,1/31/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,,KMO,,,,0,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,2/20/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,1245,KMO/DB,LATE EBB,9.1,0.7,1,8,,9.2,11.3,,0.5,E,7.2,,,,,M,,,,M,3.333333333,0.535007788,3,,0.161466667,0.067333894,3,,425,71.68681887,3,,2.86,0.509116882,2,,428.3333333,"NOx DILUTED 9:1, DILUTION INCLUDED IN FIL VALUE",241.6666667,3.511884584,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,527.7338344,3,M,,486.1381834,3,M,,410.5134996,3,M,,,,,M,,,,M,,,,M,
CM,3/19/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,1232,KMO/CB,LATE EBB,16.1,2.9,5,22,,16.1,10.7,,0.5,S,23.7,,,,,M,,,,M,3.266666667,1.426090226,3,,0.414066667,0.357234955,3,,452.5,74.24621202,2,,2.735,1.025304833,2,,455.7666667,"NOx DILUTED 9:1, DILUTION INCLUDED IN FIL VALUE",236.3333333,54.07710545,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,691.0911662,3,M,,334.006487,3,M,,13.85640646,3,M,,,,,M,,,,M,,,,M,
CM,4/15/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,1013,KMO/DB,LATE EBB,11.9,1.1,2,12.6,,12,9.1,,0.5,N,15.2,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,209,5.656854249,2,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,432.809812,3,M,,284.6775954,3,M,,540.9772022,3,M,,,,,M,,,,M,,,,M,
CM,5/15/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,1206,KMO/CB,LATE EBB,20.8,1.3,3,23.4,,20.8,9.1,,0.3,S,7.2,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,192.3333333,4.725815626,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,103.5197244,3,M,,60.044428,3,M,,75.31932023,3,M,,,,,M,,,,M,,,,M,
CM,7/16/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,1228,KMO/CB,LATE EBB,28.6,4,7,28.8,,28.7,8.2,,0.5,N,11.3,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,403.3333333,12.1166552,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,735.2693384,3,M,,79.56758134,3,M,,67.00248752,3,M,,,,,M,,,,M,,,,M,
CM,10/10/2008,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,455.3333333,45.61067127,3,,,,,M,,MEG MILLER,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,4/1/2009,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,0.691333333,0.077719581,3,,30.93333333,3.592121008,3,,1.263333333,0.189032625,3,,,,,M,1.954666667,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,12/1/2009,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,4.766666667,1.122957405,3,,0.716666667,0.139575547,3,,31.56666667,3.516153201,3,,0.448666667,0.015947832,3,,36.33333333, ,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,5/25/2010,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,0.258,0.014142136,2,,0.142566667,0.055646773,3,,25.1,5.350700889,3,,0.282333333,0.02227854,3,,25.358, ,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,3/1/2011,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,4.106666667,0.120968315,3,,0.813333333,0.072459184,3,,25.26666667,0.152752523,3,,2.373333333,0.040414519,3,,29.37333333, ,24.9,0.989949494,2,,,,,M,,MEG MILLER ,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CM,7/27/2011,2,Mainland Creek,Oyster,37.287616,-75.92876,1200,BR,Late Ebb,31.5,3.9,7.14,33.3,,,,,,NE,3,ODO and depth broken & Airtemp converted from F to C,,,,M,,,,M,29,2.022374842,3,,3.786666667,0.176162803,3,,24.83333333,2.90229794,3,,5.72,0.658483105,3,,53.83333333, ,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,694.537496,3,M,,112.6469411,3,M,,123.872246,3,M,,,,,M,,,,M,,,,M,
CM,10/10/2011,2,Mainland Creek,Oyster,37.287616,-75.92876,,,,,,,,,,,,,,,,,,,M,,,,M,10.00333333,0.793872366,3,,1.543333333,0.101159939,3,,27.16666667,1.517673658,3,,1.336666667,0.221434716,3,,37.17, ,36.03333333,1.4571662,3,,,,,M,diluted 1:9 sample/water,MEG MILLER ,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
CRM,8/26/2004,2,Mainland Creek,Machipongo,37.460083,-75.816,1213,,,26.7,22.1,35,26.4,,,,37,0.8,E,19,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,1,M,,,1,M,,,1,M,,,,,M,,,,M,,,,M,
CRM,9/1/2004,2,Mainland Creek,Machipongo,37.460083,-75.816,,,,,,0,,,,,,,,,,,,,M,,,,M,,,,M,,,,M,,,,M,,,,M,,,,,,M,,,,M,,,,,,M,,,,,,,,,M,,,,M,,,,,,,,,,,,,,M,,,,M,,,,M,,,,,M,,,,M,,,,M,
